Американские боги (American Gods);Этот оригинальный и захватывающий сериал является экранизацией одноименного романа английского писателя Нила Геймана. В центре мистических событий оказывается мужчина по имени Тень Мун. В недалеком прошлом он совершил ограбление и теперь отбывает за это тюремный срок. Он устал от своего темного прошлого и такой жизни. Все, чего хочет главный герой, - это спокойно жить со своей любимой женой Лорой. Однако супруга погибает в автокатастрофе, в связи с чем Муна выпускают из тюрьмы раньше положенного срока. По дороге на похороны любимой женщины Тень знакомится с загадочным мистером Средой, который знает о главном герое всё – даже самые страшные тайны. Мистер Среда нанимает Тень в качестве своего охранника на время путешествия по Соединенным Штатам. Отныне, по словам странного незнакомца, все в жизни Муна кардинально переменится. И не только бытие ошарашенного такой информацией мужчины, но и все вокруг больше не будет прежним. Грядет большая буря...;31.01.2021 0:00;
;Сотня (The 100);Действие разворачивается в далеком будущем, после того как на Земле произошла глобальная ядерная катастрофа. В результате этого планета стала непригодной для жизни, и все выжившее население планеты было вынуждено переселиться на космические станции. Шло время, население станций увеличивалось, и спустя сто лет это привело к перенаселению, что в свою очередь повлекло за собой серьезные проблемы. Человечество начало испытывать острый недостаток жизненно важных ресурсов, и тогда было решено отправить на Землю разведывательную команду. Для этой опасной экспедиции отбирают сто несовершеннолетних преступников, у которых есть небольшой выбор: либо остаться, и быть заключенным под стражу, или свободная жизнь, но на зараженной планете…;31.12.2020 0:00
Черное зеркало (Black Mirror);В наше время технологии изменили нашу жизнь и общество в целом. Сейчас уже в каждом доме есть телевизор, монитор компьютера, и даже уходя, мы берем с собой телефон, смартфон или планшет – черное зеркало существовании человека в двадцать первом веке. Социальным сетям мы доверяем больше чем родным и близким, имеем доступ к любой информации, но правда нас хватает лишь на примитивное сообщение. В этом сериале показано беспокойство за нынешний мир, а «Черное зеркало» все отображает.;30.05.2021 0:00;
Видоизменённый углерод (Altered Carbon);Действие сериала разворачивается в далёком будущем, где человечество научилось избегать физической смерти, записывая сознание и воспоминания отдельного человека на специальные носители, после чего перенося личность в новое тело. В центре сюжета оказывается Такеши Ковач – элитный наёмник, который спустя 250 лет после своей гибели получает новое тело по воспоминания отдельного человека на специальные носители, после чего перенося личность в новое тело.;01.02.2021 0:00;
